Date,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
2016-12-08,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,0,0,0.0,0.0
2016-12-08,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,0,0,0.0,0.0
2016-12-08,Montserrat ,0,2,0.0,40.0,0.0,0.0,5,0,0,0.0,0.0
2016-12-08,Jamaica,7052,186,0.0,258.2233321441313,0.0,0.0,2803,0,0,0.0,0.0
2016-12-08,Guyana,0,6,0.0,0.7782101167315175,0.0,0.0,771,0,0,0.0,0.0
2016-12-08,Grenada,314,111,0.0,382.8828828828829,0.0,1.0,111,0,2,0.0,0.0
2016-12-08,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,0,0,0.0,0.0
2016-12-08,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,0,0,0.0,0.0
2016-12-08,Cayman Islands,211,30,10.0,422.8070175438597,0.0,0.0,57,10,1,0.0,0.0
2016-12-08,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,0,0,0.0,0.0
2016-12-08,Barbados,653,37,0.0,237.11340206185568,0.0,0.0,291,0,0,0.0,0.0
2016-12-08,Bahamas,0,22,3.0,5.597964376590331,0.0,0.0,393,0,1,0.0,0.0
2016-12-08,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,0,0,0.0,0.0
2016-12-08,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,0,0,0.0,0.0
2016-12-08,Anguilla,58,8,1.0,388.2352941176471,0.0,0.0,17,5,0,0.0,0.0
2016-12-08,Subtotal ,2410,40,57.0,3.5482562854825628,0.0,4.0,69048,-13748,-3805,-4.0,0.0
2016-12-08,Uruguay,0,0,1.0,0.0,0.0,0.0,344,0,0,0.0,0.0
2016-12-08,Chile,0,0,29.0,0.0,0.0,0.0,18132,0,0,0.0,0.0
2016-12-08,Bermuda ,0,0,5.0,0.0,0.0,0.0,71,0,0,0.0,0.0
2016-12-15,TOTAL,532070,175063,5083.0,70.85217025369725,15.0,2439.0,998040,11970,849,0.0,28.0
2016-12-15,Subtotal ,16605,3968,27.0,279.3726235741445,4.0,4.0,7364,14195,3928,4.0,0.0
2016-12-15,Argentina,1821,26,29.0,4.212374848906425,0.0,2.0,43847,0,0,0.0,0.0
2016-12-15,Chile,0,0,29.0,0.0,0.0,0.0,18132,0,0,0.0,0.0
2016-12-15,Paraguay,590,14,0.0,8.981412639405205,0.0,2.0,6725,1,0,0.0,0.0
2016-12-15,Uruguay,0,0,1.0,0.0,0.0,0.0,344,0,0,0.0,0.0
2016-12-15,Subtotal ,2411,40,59.0,3.5497045533541884,0.0,4.0,69048,-14194,-3928,-4.0,0.0
2016-12-15,Anguilla,58,8,1.0,388.2352941176471,0.0,0.0,17,0,0,0.0,0.0
2016-12-15,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,0,0,0.0,0.0
2016-12-15,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,0,0,0.0,0.0
2016-12-15,Bahamas,0,22,3.0,5.597964376590331,0.0,0.0,393,0,0,0.0,0.0
2016-12-15,Barbados,691,46,0.0,253.26460481099656,0.0,0.0,291,38,9,0.0,0.0
2016-12-15,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,0,0,0.0,0.0
2016-12-15,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,0,0,0.0,0.0
2016-12-15,Brazil,210897,109596,0.0,152.93031378836463,6.0,2228.0,209568,10432,0,0.0,17.0
2016-12-15,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,0,0,0.0,0.0
2016-12-15,Guyana,0,37,0.0,4.7989623865110245,0.0,0.0,771,0,31,0.0,0.0
2016-12-15,Jamaica,7052,186,0.0,258.2233321441313,0.0,0.0,2803,0,0,0.0,0.0
2016-12-15,Montserrat ,2,5,0.0,140.0,0.0,0.0,5,2,3,0.0,0.0
2016-12-15,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,0,0,0.0,0.0
2016-12-15,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,0,0,0.0,0.0
